Recipient Egypt Ethiopia Kazakhstan Russia Azerbaijan Armenia Iran Bosnia-Herzegovina Ukraine Kyrgyzstan Tajikistan Belarus Georgia Jordan Poland Israel India Moldova Hungary Latvia Lithuania Estonia Lebanon Albania Uzbekistan Bangladesh Nepal IBS_Spain PJL_Pakistan GWD_Gambia ESN_Nigeria BEB_Bengal MSL_Sierra_Leone STU_Sri_Lanka ITU_India YRI_Nigeria LWK_Kenya TSI_Italy GIH_India
13 1172.17635 704.030668 30.001825 219.128809 19.241065 101.126622 55.729752 46.584755 62.870895 12.596197 66.660653 26.427075 38.825926 22.538368 25.540867 101.186016 76.233259 13.931799 6.514175 16.175614 15.641283 36.832271 11.386915 26.401375 33.271857 12.088509 7.909642 753.670871 491.884698 82.375835 71.057539 354.461333 55.132818 433.51756 461.161733 89.211207 140.773791 878.607975 472.509966
68 1636.99287 909.578852 27.537303 211.460121 19.874344 101.763752 60.069677 40.223591 63.732403 12.163028 50.484451 25.399522 37.223775 37.846353 27.369519 111.771324 70.292537 12.497311 5.447656 21.264115 18.82616 32.328208 10.002354 28.05811 31.48568 9.978027 4.181991 756.872192 393.00024 76.035607 52.964588 278.175788 46.398538 327.361728 343.150958 63.199476 107.735023 824.353155 358.317552
73 967.406348 703.940921 25.796613 192.887227 19.098493 83.741324 47.838428 44.16861 65.460787 17.566358 61.585299 26.194546 41.697597 26.1284 26.91185 88.449476 91.174023 16.515446 5.072868 19.846881 23.332492 36.216259 9.87482 24.044668 35.884881 12.112591 8.954292 696.268764 522.374732 113.372592 121.469066 373.503344 77.663301 452.668675 484.070545 132.781566 262.826088 793.369233 493.148462
81 316.01059 161.044682 30.476718 128.811525 9.696861 32.604878 17.862233 30.131405 49.209252 20.733508 54.783027 15.994517 21.371154 7.223701 17.324412 32.7419 187.614829 7.396295 4.709023 11.698902 11.103897 26.218759 3.705594 10.719516 31.643474 25.645285 17.088908 399.95455 859.877401 49.634666 35.784768 774.728752 31.71262 1182.53316 1188.37538 39.824693 43.837986 420.351734 935.237308
83 1161.41633 704.157493 27.120749 212.423356 23.623925 97.504243 43.42581 51.192169 64.228021 14.959206 63.965498 22.28556 41.355358 22.62977 27.434188 96.708256 81.948689 14.712334 7.87974 16.089032 18.010789 32.820425 7.967537 17.930959 36.697419 16.421775 6.878396 738.896046 502.984364 91.174047 100.569481 356.087975 69.293812 418.140911 447.377428 106.090868 189.94385 838.146835 454.925219
97 825.707836 685.83771 26.764014 153.764468 12.247309 66.27943 25.908715 45.280469 53.353399 12.138915 52.339655 18.580419 31.839519 17.067342 21.396481 71.149714 128.822798 11.248962 4.194665 13.249859 14.723557 28.169911 6.373416 20.465191 28.844818 18.38689 8.385044 561.898243 617.021336 86.275224 69.25053 530.121937 53.942175 745.161065 736.990396 73.252017 120.645917 616.64807 631.69045
106 1584.69271 955.32648 23.976919 193.944631 12.238625 104.032767 60.31476 49.602748 58.342601 11.873565 57.731207 23.420013 45.327066 42.082695 23.896416 125.39372 70.180428 13.447888 5.459966 15.23786 15.085974 35.470383 11.57316 23.540499 31.272057 9.507055 5.393657 712.506033 407.480746 76.954618 54.803219 274.855176 44.725536 344.531778 336.175152 64.016249 111.539368 868.215577 341.248562
107 1122.27655 907.725741 35.739663 185.434098 18.818766 77.81638 37.508567 40.368988 58.162163 26.96947 61.842627 19.84787 42.426244 20.369306 20.712818 88.245658 83.117533 9.831996 7.328247 18.296303 17.394186 40.46394 6.78097 21.802889 43.293645 15.708301 10.832727 740.706349 397.502412 181.825384 131.331796 379.54654 108.579207 379.56513 371.466273 151.594867 207.88025 768.216282 388.08772
108 1445.13249 1074.20463 29.230416 205.340801 18.124556 98.480213 49.817639 54.921621 55.354605 11.214276 53.674467 24.744217 41.324089 40.076154 22.997048 119.468464 62.732791 11.776654 4.656572 13.892779 14.018966 27.783025 8.70755 19.09198 30.8788 8.899808 5.189494 706.067706 360.249339 110.914781 108.844317 248.993929 70.567092 303.926011 300.82025 130.929725 179.42553 842.694832 330.250227
126 1610.79653 965.281756 25.456362 194.456618 20.567229 87.764958 63.100085 41.443122 62.274519 14.40501 47.980011 28.164749 46.117847 50.757821 24.852691 125.261137 64.95749 13.168671 6.238383 15.693184 14.463005 26.758835 10.6065 25.847783 30.813903 8.658684 6.795295 702.232203 386.29607 73.124124 55.062751 282.194634 46.535876 320.927027 336.542669 57.448758 137.375355 858.158286 356.837925
128 699.203447 389.072217 29.043708 222.711052 15.860061 81.219939 37.195351 48.671165 75.37399 14.848732 81.910144 28.315004 37.019569 15.655497 28.069348 60.088507 110.388068 17.237827 8.763362 20.633734 20.66398 37.694294 8.180547 22.942112 40.117554 17.154844 10.098183 719.42782 673.29443 89.355351 103.30627 477.922328 61.673343 614.636142 602.261355 122.674439 196.829828 745.326206 660.57811
132 544.703937 367.186741 18.879766 140.914968 11.04782 52.645554 28.351716 33.730149 45.218219 14.909033 57.848684 22.042261 32.095911 12.653121 22.885004 48.691667 73.99498 9.413146 6.268188 14.479768 12.712798 27.31096 3.939203 17.618585 27.523202 9.005364 7.334001 502.670341 480.494878 280.143136 512.46434 337.012358 248.70485 392.290525 412.969103 560.14955 914.025286 524.159729 416.929002
144 1466.01044 884.759415 25.615677 185.002571 13.248533 95.741249 56.897463 40.278473 65.798952 14.025481 55.666913 24.566698 36.414292 30.059105 23.039426 113.968665 69.700464 13.509537 5.592683 13.823807 19.019685 36.479377 14.272674 32.29281 37.018973 7.226741 6.072579 691.627621 417.673497 95.643108 85.500739 293.946679 55.52051 353.63906 362.60584 83.883735 203.189702 822.891476 393.193221
157 924.943517 546.005078 31.341233 158.363784 11.952331 59.409382 39.916494 43.67813 52.763694 20.243233 55.760673 23.775393 27.963254 23.366655 20.521205 77.912235 141.202902 11.075048 6.47908 15.498367 16.043558 25.886938 7.544015 15.985166 35.745341 19.062733 9.8559 553.026522 668.899198 59.988867 44.197273 558.780663 35.083251 757.062649 751.316094 49.782409 89.715023 603.87755 651.39303
180 1067.27998 673.912355 35.676651 223.23676 16.105211 106.442416 50.375651 51.477966 72.067622 14.131853 68.47655 24.967971 52.025331 24.161117 22.628658 103.933583 95.221932 12.53405 5.099523 15.539997 17.88625 32.104231 9.056441 26.565834 35.444962 14.927653 6.553591 756.248727 561.289745 86.181896 75.779856 389.149388 48.798022 448.627688 455.952449 75.073029 131.691485 834.894339 503.897099
195 1373.21144 887.018084 30.648486 195.950277 16.072593 96.771484 50.077954 38.647983 68.521172 12.582384 54.284367 27.774401 45.900834 30.615443 22.349237 111.985673 58.577298 20.430449 7.014655 17.193533 17.705949 30.228739 13.459859 24.785654 29.399969 7.432839 5.063048 755.689054 363.650197 163.676423 120.48101 272.08839 102.847764 303.236444 316.544489 152.71836 192.698547 860.790412 347.292973
202 1651.75483 931.904851 25.959576 192.751048 13.991494 101.734031 61.25268 49.61618 59.20329 16.43276 50.219888 23.61119 37.940383 50.315624 26.685195 130.193491 65.964639 16.684599 5.150953 16.508709 15.538369 32.229185 12.340872 23.816884 30.683526 8.932654 7.493497 722.291333 395.57237 72.892339 46.036698 275.53341 45.075904 318.043101 338.087682 51.931206 90.991765 875.65952 354.392112
203 1578.64588 916.527826 33.415669 202.335311 14.80071 100.013008 57.153291 46.378857 54.892306 15.448501 53.700874 22.114357 53.819476 35.315626 25.679405 108.218074 71.555652 12.454435 6.363595 23.452048 18.358579 29.39274 9.760565 27.462172 34.918236 9.867189 6.256437 730.833045 391.811382 73.472661 51.297166 292.074481 41.484861 350.868453 353.110622 56.896155 124.113872 855.347474 355.806859
213 1661.33767 946.132649 21.269315 185.061934 19.433424 90.877665 80.20476 44.235434 56.922982 12.66958 48.824146 19.869249 35.20028 38.80173 20.476162 131.15783 55.320919 13.534641 4.46679 17.993145 17.049454 30.906586 10.237968 23.548861 31.938205 10.176178 6.6842 736.426634 373.128396 77.179398 63.922713 274.410051 49.369631 322.416622 337.532758 71.146148 122.061821 824.805831 358.686111
221 1144.78595 701.072049 29.363832 202.587954 16.775072 97.440915 44.414086 49.058646 60.094612 12.956216 69.00355 24.105798 43.641564 35.910571 30.031112 101.047605 87.698988 11.241209 5.579166 16.744408 24.573109 35.203675 7.976841 22.841617 38.328544 13.788083 8.484934 714.068448 507.166816 91.927209 82.500528 367.288587 64.533926 464.930385 471.286948 90.83589 165.626354 810.675526 479.827133
