Recipient Egypt Ethiopia Western_Asia Russian_Caucasus Caucasus Iran South_Eastern_Europe Eastern_Europe Levant South_Asia IBS_Spain PJL_Pakistan GWD_Gambia ESN_Nigeria BEB_Bengal MSL_Sierra_Leone STU_Sri_Lanka ITU_India YRI_Nigeria LWK_Kenya TSI_Italy GIH_India
13 1172.17635 704.030668 142.530531 219.128809 159.193609 55.729752 86.917927 190.002184 135.111299 96.231408 753.670871 491.884698 82.375835 71.057539 354.461333 55.132818 433.51756 461.161733 89.211207 140.773791 878.607975 472.509966
68 1636.99287 909.578852 121.670456 211.460121 158.86187 60.069677 80.779005 194.367584 159.620028 84.452555 756.872192 393.00024 76.035607 52.964588 278.175788 46.398538 327.361728 343.150958 63.199476 107.735023 824.353155 358.317552
73 967.406348 703.940921 140.83315 192.887227 144.537412 47.838428 84.728725 203.035677 124.452698 112.240905 696.268764 522.374732 113.372592 121.469066 373.503344 77.663301 452.668675 484.070545 132.781566 262.826088 793.369233 493.148462
81 316.01059 161.044682 137.636731 128.811525 63.672894 17.862233 48.247213 136.25876 43.671193 230.349026 399.95455 859.877401 49.634666 35.784768 774.728752 31.71262 1182.53316 1188.37538 39.824693 43.837986 420.351734 935.237308
83 1161.41633 704.157493 142.742869 212.423356 162.483528 43.42581 83.835462 188.747753 127.305563 105.248862 738.896046 502.984364 91.174047 100.569481 356.087975 69.293812 418.140911 447.377428 106.090868 189.94385 838.146835 454.925219
97 825.707836 685.83771 120.087404 153.764468 110.366264 25.908715 76.99462 153.668289 94.590472 155.59473 561.898243 617.021336 86.275224 69.25053 530.121937 53.942175 745.161065 736.990396 73.252017 120.645917 616.64807 631.69045
106 1584.69271 955.32648 124.85374 193.944631 161.598455 60.31476 86.591139 176.913211 179.04957 85.08114 712.506033 407.480746 76.954618 54.803219 274.855176 44.725536 344.531778 336.175152 64.016249 111.539368 868.215577 341.248562
107 1122.27655 907.725741 167.845403 185.434098 139.061392 37.508567 72.003873 182.20553 115.39593 109.658565 740.706349 397.502412 181.825384 131.331796 379.54654 108.579207 379.56513 371.466273 151.594867 207.88025 768.216282 388.08772
108 1445.13249 1074.20463 124.997965 205.340801 157.928859 49.817639 85.790256 163.447216 168.252167 76.822093 706.067706 360.249339 110.914781 108.844317 248.993929 70.567092 303.926011 300.82025 130.929725 179.42553 842.694832 330.250227
126 1610.79653 965.281756 118.655287 194.456618 154.450033 63.100085 80.459576 178.445369 186.625462 80.41147 702.232203 386.29607 73.124124 55.062751 282.194634 46.535876 320.927027 336.542669 57.448758 137.375355 858.158286 356.837925
128 699.203447 389.072217 165.920134 222.711052 134.099573 37.195351 88.851104 219.51371 83.924552 137.641095 719.42782 673.29443 89.355351 103.30627 477.922328 61.673343 614.636142 602.261355 122.674439 196.829828 745.326206 660.57811
132 544.703937 367.186741 119.160685 140.914968 95.789287 28.351716 60.76188 150.917208 65.283993 90.334347 502.670341 480.494878 280.143136 512.46434 337.012358 248.70485 392.290525 412.969103 560.14955 914.025286 524.159729 416.929002
144 1466.01044 884.759415 132.327046 185.002571 145.404075 56.897463 86.08082 188.320625 158.300444 82.999782 691.627621 417.673497 95.643108 85.500739 293.946679 55.52051 353.63906 362.60584 83.883735 203.189702 822.891476 393.193221
157 924.943517 546.005078 143.090481 158.363784 99.324968 39.916494 70.738347 160.968235 108.822906 170.121533 553.026522 668.899198 59.988867 44.197273 558.780663 35.083251 757.062649 751.316094 49.782409 89.715023 603.87755 651.39303
180 1067.27998 673.912355 153.730016 223.23676 174.57296 50.375651 90.57785 190.294254 137.151146 116.70317 756.248727 561.289745 86.181896 75.779856 389.149388 48.798022 448.627688 455.952449 75.073029 131.691485 834.894339 503.897099
195 1373.21144 887.018084 126.915203 195.950277 158.744914 50.077954 83.864088 190.787682 156.060974 71.073187 755.689054 363.650197 163.676423 120.48101 272.08839 102.847764 303.236444 316.544489 152.71836 192.698547 860.790412 347.292973
202 1651.75483 931.904851 123.295754 192.751048 153.665906 61.25268 90.117667 178.926902 192.849985 82.39079 722.291333 395.57237 72.892339 46.036698 275.53341 45.075904 318.043101 338.087682 51.931206 90.991765 875.65952 354.392112
203 1578.64588 916.527826 137.48328 202.335311 168.633197 57.153291 86.295464 180.253032 153.294266 87.679282 730.833045 391.811382 73.472661 51.297166 292.074481 41.484861 350.868453 353.110622 56.896155 124.113872 855.347474 355.806859
213 1661.33767 946.132649 114.701251 185.061934 145.511365 80.20476 81.318935 167.684363 180.197529 72.181293 736.426634 373.128396 77.179398 63.922713 274.410051 49.369631 322.416622 337.532758 71.146148 122.061821 824.805831 358.686111
221 1144.78595 701.072049 149.65214 202.587954 157.857549 44.414086 83.14147 196.331887 144.935014 109.972003 714.068448 507.166816 91.927209 82.500528 367.288587 64.533926 464.930385 471.286948 90.83589 165.626354 810.675526 479.827133
222 1619.33897 1037.65937 118.605245 185.822516 160.918993 52.199066 81.266757 176.900056 199.108883 70.752797 762.478388 350.142614 85.337103 53.460219 252.921502 47.348837 319.020919 319.449395 61.302847 108.593853 849.841822 332.947719
231 1080.73217 786.754496 119.252306 173.207431 130.510334 37.463214 86.356154 203.539481 105.742926 80.403889 796.100135 344.354733 284.039142 235.677379 251.8405 171.626831 307.080258 312.151304 245.717128 297.178799 853.879092 341.810166
233 1491.32822 900.582822 122.585929 215.805748 157.155932 52.846565 85.558754 178.227865 169.922711 94.371558 730.322485 444.144382 72.502394 45.791046 300.677398 40.311294 354.126882 370.404158 54.170724 98.534533 862.115346 403.931115
244 372.690079 408.947348 62.932699 73.177544 47.542854 17.94472 34.977099 75.964837 37.995449 59.726979 250.935714 242.601097 461.252599 828.191228 201.081523 422.171345 240.615091 244.994078 894.345158 1758.7105 278.07751 230.542413
253 1596.15528 885.505178 122.852934 207.82099 165.829207 57.671887 82.341791 173.626313 174.500754 94.737864 721.526819 389.665347 79.489701 57.661958 287.137073 48.687943 328.109929 349.04991 69.652444 122.186252 866.701143 364.507146
268 709.77104 445.200377 151.19233 157.423295 96.479783 41.522924 69.021405 144.622134 84.558049 178.029427 513.418737 702.674094 89.472391 75.809758 575.432973 54.888564 777.711107 789.896143 98.548384 213.104101 570.397286 706.243553
274 1583.82339 923.696142 119.535468 197.958674 164.822966 62.336671 87.543507 171.109242 175.007973 91.602935 717.83164 398.302266 73.760738 51.590043 288.734067 43.849742 334.434385 341.439796 57.348902 123.080232 859.815811 377.793263
277 1599.14133 939.553135 124.579314 208.070098 160.329113 68.652838 82.487154 181.497436 212.874019 80.669706 717.344238 383.480272 68.18267 46.366325 271.482268 41.56091 345.529196 330.813091 56.880028 100.193395 847.547095 378.184223
287 1582.52548 871.812631 143.198508 197.079876 159.408083 55.26619 80.752616 173.437358 186.277223 88.531868 728.469647 386.163832 68.749579 48.682617 297.963348 46.983346 362.87267 374.173834 61.600396 126.520166 834.364195 370.584394
298 1494.70903 911.202196 116.375879 222.765347 158.405898 56.639125 82.885373 178.110251 168.432397 84.669705 721.855417 434.149734 76.670167 61.226727 292.87223 50.939278 352.730604 380.484824 63.481278 126.685134 828.922017 381.205238
300 1550.50138 1010.40695 123.180096 200.685854 167.931528 52.793799 91.760551 176.552534 164.558326 77.040375 761.04362 377.067531 80.373176 50.930794 269.850607 46.727802 317.502127 335.140128 62.507416 114.675084 840.260915 373.927281
306 553.691502 319.775609 161.114525 190.713289 123.892569 47.139989 70.291362 182.909894 69.986739 149.54271 559.101978 744.5251 112.759914 185.625186 474.135033 90.470044 691.742228 701.89368 185.864323 309.776373 623.387662 697.078155
308 1298.74233 792.659289 130.544814 204.17157 141.974564 59.145198 73.77383 170.665032 151.295553 91.162878 667.188583 429.617185 113.152556 133.062009 315.68234 80.601589 371.00965 378.202696 158.245729 308.763108 757.486085 418.271273
316 763.270346 551.50092 126.061833 164.51251 122.201614 34.297667 58.543833 165.274408 96.528683 112.084743 550.211753 502.285973 191.200991 308.906749 369.038734 148.993441 456.542255 459.582555 301.60876 646.216281 633.587225 482.966576
