IID	GB	KE	Family	Name_number
268	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Abumuhair	Other
734	Ajman_Emirati	Ajman_Emirati	Al Azdi	Other
1725	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Boushi	Other
S463	Dubai_Emirati	Dubai_Emirati	Al bufalasa	Other
2949	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Hameeri	Other
S22	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Hameeri	Other
S138	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Hameeri	Other
1359	Fujairah_Emirati	Fujairah_Emirati	Al Kalbani	Other
4271	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Khaili	Other
S150	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Khaili	Other
S484	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Khaili	Other
2127	Fujairah_Emirati	Fujairah_Emirati	Al Madhani	Other
3250	Fujairah_Emirati	Fujairah_Emirati	Al Madhani	Other
S475	Fujairah_Emirati	Fujairah_Emirati	Al Madhani	Other
3389	Fujairah_Emirati	Fujairah_Emirati	Al Sharqi	Other
3893	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Shebli	Other
S270	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Shebli	Other
881	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Sheryani	Other
2083	Sharjah_Emirati	Sharjah_Emirati	Aladwani	Other
300	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alahbabi	Other
2235	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alahbabi	Other
FG75	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alahbabi	Other
37	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
85	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
131	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
286	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
420	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
442	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
486	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
488	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
526	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
591	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
599	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
605	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
708	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
767	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
843	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
846	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1086	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1153	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1249	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1257	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1586	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1655	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1696	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1743	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2245	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2246	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2273	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2274	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2305	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2504	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2553	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2622	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2625	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2644	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2782	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2845	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2898	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2929	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2973	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3013	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3014	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3349	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3354	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3438	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3489	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3494	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3499	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3509	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3544	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3570	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3913	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3952	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4104	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4126	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4160	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4185	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4206	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4255	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4344	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4397	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4466	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
FG89	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
FG112	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
FG134	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
FG151	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S26	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S49	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
