IIDx	IID	KE_correct	GB	KE	Family	Name_number
268	966	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Abumuhair	Other
734	971	Abu Dhabi	Ajman_Emirati	Ajman_Emirati	Al Azdi	Other
1725	974	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Boushi	Other
S463	978	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Al bufalasa	Other
2949	684	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Hameeri	Other
S22	683	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Hameeri	Other
S138	682	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Hameeri	Other
1359	988	Dubai	Fujairah_Emirati	Fujairah_Emirati	Al Kalbani	Other
4271	697	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Khaili	Other
S150	695	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Khaili	Other
S484	687	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Khaili	Other
2127	721	Abu Dhabi	Fujairah_Emirati	Fujairah_Emirati	Al Madhani	Other
3250	708	Umm Al Quwain	Fujairah_Emirati	Fujairah_Emirati	Al Madhani	Other
S475	698	Ras Al Khaimah	Fujairah_Emirati	Fujairah_Emirati	Al Madhani	Other
3389	993	Abu Dhabi	Fujairah_Emirati	Fujairah_Emirati	Al Sharqi	Other
3893	865	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Shebli	Other
S270	863	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Shebli	Other
881	994	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Al Sheryani	Other
2083	1002	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Aladwani	Other
300	724	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alahbabi	Other
2235	723	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alahbabi	Other
FG75	722	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alahbabi	Other
37	3361	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
85	3360	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
131	3358	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
286	3354	Umm Al Quwain	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
420	3350	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
442	3349	Umm Al Quwain	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
486	3344	Fujairah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
488	3343	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
526	3322	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
591	3321	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
599	3318	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
605	3317	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
708	3316	Fujairah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
767	3313	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
843	3311	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
846	3310	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1086	3308	Dubai	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1153	3306	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1249	3293	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1257	3292	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1586	3291	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1655	3274	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1696	3268	Sharjah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1743	3261	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2245	3250	Fujairah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2246	3241	Fujairah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2273	3235	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2274	3228	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2305	3212	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2504	3174	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2553	3170	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2622	3097	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2625	3096	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2644	3080	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2782	3070	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2845	3069	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2898	3068	Sharjah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2929	3066	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
2973	3064	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3013	3060	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3014	3053	Sharjah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3349	3048	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3354	3044	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3438	3038	Dubai	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3489	3034	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3494	3028	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3499	3020	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3509	3019	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3544	3018	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3570	3014	Umm Al Quwain	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3913	3013	Umm Al Quwain	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
3952	3003	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4104	3001	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4126	2999	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4160	2995	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4185	2993	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4206	2989	Fujairah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4255	2987	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4344	2985	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4397	2981	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
4466	2979	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
FG89	2973	Umm Al Quwain	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
FG112	2972	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
FG134	2969	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
FG151	2968	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S26	2966	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S49	2962	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S206	2961	Fujairah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S239	2950	Ajman	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S241	2949	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S274	2947	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S278	2941	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S279	2940	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S282	2938	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S287	2936	Fujairah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S377	2932	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S393	2929	Umm Al Quwain	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S420	2928	Ras Al Khaimah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S444	2926	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
S490	2920	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alali	Name 80 
1041	521	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alalili	Other
2618	513	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alalili	Other
3641	503	Sharjah	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alalili	Other
FG1	498	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alalili	Other
S404	495	Abu Dhabi	Umm_al_Quwain_Emirati	Umm_al_Quwain_Emirati	Alalili	Other
3930	736	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alamimi	Other
S59	734	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alamimi	Other
S373	726	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alamimi	Other
316	605	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alawani	Other
1875	604	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alawani	Other
4142	599	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alawani	Other
FG153	597	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alawani	Other
2637	874	Abu Dhabi	Fujairah_Emirati	Fujairah_Emirati	Albarood	Other
3568	873	Abu Dhabi	Fujairah_Emirati	Fujairah_Emirati	Albarood	Other
107	240	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alberaiki	Name 8a
548	236	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alberaiki	Name 8a
2272	233	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alberaiki	Name 8a
3001	232	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alberaiki	Name 8a
3306	231	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alberaiki	Name 8a
3322	222	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alberaiki	Name 8a
4108	221	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alberaiki	Name 8a
4183	213	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alberaiki	Name 8a
1861	1016	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alblooki	Other
3894	882	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldahmani	Other
4085	881	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldahmani	Other
2947	617	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldarei	Other
S231	616	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldarei	Other
S281	612	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldarei	Other
S319	607	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldarei	Other
1232	456	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldarmaki	Name 6a
2940	452	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldarmaki	Name 6a
3069	442	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldarmaki	Name 6a
FG45	437	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldarmaki	Name 6a
